snr,seed,trial,epoch,loss,f1,lr,aug,timestamp
6,-1,0,1,0.879684,0.015152,1.00e-03,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:08:58.540037
6,-1,0,2,0.399287,0.018824,1.00e-03,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:09:21.799557
6,-1,0,3,0.348151,0.048248,9.99e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:09:45.112974
6,-1,0,4,0.316223,0.015152,9.98e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:10:08.206212
6,-1,0,5,0.274842,0.155262,9.96e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:10:31.299162
6,-1,0,6,0.245390,0.118141,9.94e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:10:54.239175
6,-1,0,7,0.225351,0.113506,9.91e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:11:17.377125
6,-1,0,8,0.228359,0.179929,9.88e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:11:40.303421
6,-1,0,9,0.196709,0.192835,9.84e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:12:03.486548
6,-1,0,10,0.185995,0.292992,9.80e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:12:26.388479
6,-1,0,11,0.178375,0.032304,9.76e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:12:49.175860
6,-1,0,12,0.159428,0.105153,9.70e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:13:12.298130
6,-1,0,13,0.173480,0.267532,9.65e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:13:35.437351
6,-1,0,14,0.168768,0.111234,9.59e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:13:58.799655
6,-1,0,15,0.162062,0.109767,9.52e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:14:21.955359
6,-1,0,16,0.168951,0.106959,9.46e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:14:45.309771
6,-1,0,17,0.150545,0.117426,9.38e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:15:08.311003
6,-1,0,18,0.152686,0.079977,9.30e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:15:31.381709
6,-1,0,19,0.154348,0.276841,9.22e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:15:54.623901
6,-1,0,20,0.148627,0.103560,9.14e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:16:18.122420
6,-1,0,21,0.141353,0.191372,9.05e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:16:41.440469
6,-1,0,22,0.165451,0.236278,8.95e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:17:04.622553
6,-1,0,23,0.142471,0.106053,8.85e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:17:27.509950
6,-1,0,24,0.140998,0.248393,8.75e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:17:50.366857
6,-1,0,25,0.144885,0.163047,8.64e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:18:13.383499
6,-1,0,26,0.142760,0.274066,8.54e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:18:36.360090
6,-1,0,27,0.137408,0.234098,8.42e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:18:59.158571
6,-1,0,28,0.144158,0.105138,8.31e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:19:22.115954
6,-1,0,29,0.142871,0.276793,8.19e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:19:45.059422
6,-1,0,30,0.135945,0.110413,8.06e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:20:08.031475
6,-1,0,31,0.132247,0.282301,7.94e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:20:31.043077
6,-1,0,32,0.144519,0.158689,7.81e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:20:54.497463
6,-1,0,33,0.146744,0.086989,7.68e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:21:17.528200
6,-1,0,34,0.126853,0.201076,7.55e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:21:40.647902
6,-1,0,35,0.126330,0.329709,7.41e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:22:03.541043
6,-1,0,36,0.139760,0.264133,7.27e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:22:26.600501
6,-1,0,37,0.133570,0.105145,7.13e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:22:49.567701
6,-1,0,38,0.120292,0.031341,6.99e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:23:12.511376
6,-1,0,39,0.118526,0.355519,6.84e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:23:35.594680
6,-1,0,40,0.131035,0.063224,6.69e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:23:58.639583
6,-1,0,41,0.122442,0.325379,6.55e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:24:21.671438
6,-1,0,42,0.136730,0.106063,6.39e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:24:44.456560
6,-1,0,43,0.124408,0.106045,6.24e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:25:07.282619
6,-1,0,44,0.123897,0.333598,6.09e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:25:30.547984
6,-1,0,45,0.117476,0.059807,5.94e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:25:53.664480
6,-1,0,46,0.122731,0.102825,5.78e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:26:16.591303
6,-1,0,47,0.117707,0.328041,5.63e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:26:39.627666
6,-1,0,48,0.113256,0.665898,5.47e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:27:02.331623
6,-1,0,49,0.119278,0.370619,5.31e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:27:25.009908
6,-1,0,50,0.113717,0.105160,5.16e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:27:47.625322
6,-1,0,51,0.115026,0.273298,5.00e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:28:10.310573
6,-1,0,52,0.115496,0.380633,4.84e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:28:33.463485
6,-1,0,53,0.114759,0.310399,4.69e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:28:56.176209
6,-1,0,54,0.107561,0.626555,4.53e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:29:19.121456
6,-1,0,55,0.115977,0.128745,4.37e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:29:42.045611
6,-1,0,56,0.121240,0.109708,4.22e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:30:05.164764
6,-1,0,57,0.107603,0.654154,4.06e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:30:28.437454
6,-1,0,58,0.109494,0.332067,3.91e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:30:51.442480
6,-1,0,59,0.110505,0.264576,3.76e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:31:14.445832
6,-1,0,60,0.109495,0.106980,3.61e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:31:37.246514
6,-1,0,61,0.114078,0.367512,3.45e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:32:00.086905
6,-1,0,62,0.110621,0.306121,3.31e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:32:23.206047
6,-1,0,63,0.106921,0.295306,3.16e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:32:45.710282
6,-1,0,64,0.109096,0.240773,3.01e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:33:08.839381
6,-1,0,65,0.106036,0.674261,2.87e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:33:31.864946
6,-1,0,66,0.106569,0.160377,2.73e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:33:54.973028
6,-1,0,67,0.107899,0.344411,2.59e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:34:17.852130
6,-1,0,68,0.104795,0.356824,2.45e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:34:40.737310
6,-1,0,69,0.109454,0.353769,2.32e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:35:03.558474
6,-1,0,70,0.100334,0.394744,2.19e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:35:26.234423
6,-1,0,71,0.094736,0.601499,2.06e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:35:48.826681
6,-1,0,72,0.102997,0.408346,1.94e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:36:11.864447
6,-1,0,73,0.096333,0.656274,1.81e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:36:34.594692
6,-1,0,74,0.103903,0.149597,1.69e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:36:57.361869
6,-1,0,75,0.103533,0.324695,1.58e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:37:20.006160
6,-1,0,76,0.094233,0.522893,1.46e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:37:42.597378
6,-1,0,77,0.093133,0.341748,1.36e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:38:05.399989
6,-1,0,78,0.096160,0.370811,1.25e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:38:28.076860
6,-1,0,79,0.098563,0.666362,1.15e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:38:51.051055
6,-1,0,80,0.094682,0.621283,1.05e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:39:13.995121
6,-1,0,81,0.095678,0.344056,9.55e-05,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:39:36.836004
6,-1,0,82,0.094203,0.682255,8.65e-05,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:39:59.481211
6,-1,0,83,0.102712,0.275166,7.78e-05,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:40:22.398025
6,-1,0,84,0.093677,0.412801,6.96e-05,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:40:45.119045
6,-1,0,85,0.091079,0.450813,6.18e-05,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:41:07.984488
6,-1,0,86,0.100923,0.441878,5.45e-05,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:41:30.706671
6,-1,0,87,0.094885,0.559804,4.76e-05,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:41:53.291182
6,-1,0,88,0.086259,0.681093,4.11e-05,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:42:16.170460
6,-1,0,89,0.093789,0.460315,3.51e-05,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:42:38.827320
6,-1,0,90,0.095752,0.622648,2.96e-05,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:43:01.859736
6,-1,0,91,0.094965,0.528093,2.45e-05,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:43:24.695724
6,-1,0,92,0.101230,0.569648,1.99e-05,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:43:47.595298
6,-1,0,93,0.088628,0.676850,1.57e-05,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:44:10.474893
6,-1,0,94,0.089774,0.685712,1.20e-05,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:44:33.110381
6,-1,0,95,0.096357,0.674251,8.86e-06,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:44:55.712570
6,-1,0,96,0.094234,0.681984,6.16e-06,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:45:18.402036
6,-1,0,97,0.095279,0.687724,3.94e-06,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:45:41.385745
6,-1,0,98,0.096047,0.686641,2.22e-06,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:46:04.631680
6,-1,0,99,0.090650,0.686942,9.87e-07,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:46:27.510846
6,-1,0,100,0.093408,0.687801,2.47e-07,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:46:50.386259
6,-1,0,101,0.156383,0.015183,1.00e-03,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:47:13.461615
6,-1,0,102,0.150773,0.305561,1.00e-03,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:47:36.530248
6,-1,0,103,0.141828,0.291099,1.00e-03,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:47:59.464501
6,-1,0,104,0.128162,0.161573,9.99e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:48:22.738981
6,-1,0,105,0.138297,0.168914,9.99e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:48:45.661184
6,-1,0,106,0.135435,0.128576,9.98e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:49:09.013109
6,-1,0,107,0.129481,0.105138,9.98e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:49:32.050381
6,-1,0,108,0.126888,0.217378,9.97e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:49:54.742035
6,-1,0,109,0.122769,0.097107,9.96e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:50:17.532209
6,-1,0,110,0.120436,0.262194,9.95e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:50:40.278159
6,-1,0,111,0.123283,0.300530,9.94e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:51:02.977525
6,-1,0,112,0.133648,0.617990,9.93e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:51:25.683339
6,-1,0,113,0.115777,0.256183,9.91e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:51:48.250357
6,-1,0,114,0.115310,0.247889,9.90e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:52:11.383090
6,-1,0,115,0.112283,0.167843,9.88e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:52:34.688304
6,-1,0,116,0.115515,0.088963,9.86e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:52:57.908784
6,-1,0,117,0.114714,0.285338,9.84e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:53:20.583814
6,-1,0,118,0.112849,0.151518,9.82e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:53:43.500896
6,-1,0,119,0.125704,0.211962,9.80e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:54:06.436586
6,-1,0,120,0.110846,0.106048,9.78e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:54:29.156820
6,-1,1,1,0.788688,0.015152,1.00e-03,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:55:01.341342
6,-1,1,2,0.361227,0.056862,1.00e-03,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:55:32.033863
6,-1,1,3,0.279249,0.015152,9.99e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:56:02.789410
6,-1,1,4,0.250971,0.015292,9.98e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:56:33.412129
6,-1,1,5,0.229954,0.016909,9.96e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:57:04.234482
6,-1,1,6,0.201462,0.162866,9.94e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:57:34.823595
6,-1,1,7,0.183308,0.188047,9.91e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:58:05.610822
6,-1,1,8,0.172190,0.084528,9.88e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:58:36.206583
6,-1,1,9,0.171580,0.020844,9.84e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:59:06.567954
6,-1,1,10,0.173471,0.028111,9.80e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T17:59:36.688107
6,-1,1,11,0.150639,0.154001,9.76e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:00:07.310027
6,-1,1,12,0.160633,0.377747,9.70e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:00:37.931095
6,-1,1,13,0.169784,0.200759,9.65e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:01:08.599132
6,-1,1,14,0.157287,0.129989,9.59e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:01:39.263262
6,-1,1,15,0.153288,0.117007,9.52e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:02:09.723621
6,-1,1,16,0.137702,0.340657,9.46e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:02:40.109452
6,-1,1,17,0.158224,0.164764,9.38e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:03:10.451384
6,-1,1,18,0.138962,0.021472,9.30e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:03:40.617558
6,-1,1,19,0.136279,0.163099,9.22e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:04:10.875776
6,-1,1,20,0.133029,0.448169,9.14e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:04:41.164927
6,-1,1,21,0.125924,0.248426,9.05e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:05:11.432837
6,-1,1,22,0.142279,0.105138,8.95e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:05:42.111672
6,-1,1,23,0.139450,0.273651,8.85e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:06:12.589940
6,-1,1,24,0.135815,0.528027,8.75e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:06:43.015011
6,-1,1,25,0.126452,0.278636,8.64e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:07:13.330960
6,-1,1,26,0.125741,0.341449,8.54e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:07:43.768386
6,-1,1,27,0.127312,0.187811,8.42e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:08:14.878165
6,-1,1,28,0.132102,0.347209,8.31e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:08:45.356300
6,-1,1,29,0.127384,0.563068,8.19e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:09:16.465313
6,-1,1,30,0.124037,0.119412,8.06e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:09:47.724389
6,-1,1,31,0.122274,0.123970,7.94e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:10:18.984227
6,-1,1,32,0.122321,0.329070,7.81e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:10:50.213329
6,-1,1,33,0.116819,0.314243,7.68e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:11:21.325707
6,-1,1,34,0.117425,0.322183,7.55e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:11:51.811431
6,-1,1,35,0.119956,0.111366,7.41e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:12:22.208677
6,-1,1,36,0.127794,0.173621,7.27e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:12:52.337017
6,-1,1,37,0.118519,0.334279,7.13e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:13:23.071269
6,-1,1,38,0.115939,0.343195,6.99e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:13:53.798257
6,-1,1,39,0.124713,0.105153,6.84e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:14:24.244634
6,-1,1,40,0.107682,0.244290,6.69e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:14:54.296378
6,-1,1,41,0.114637,0.341050,6.55e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:15:24.787969
6,-1,1,42,0.109121,0.300061,6.39e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:15:54.977709
6,-1,1,43,0.106977,0.147782,6.24e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:16:25.351397
6,-1,1,44,0.112068,0.259929,6.09e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:16:55.780510
6,-1,1,45,0.107898,0.349939,5.94e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:17:26.196317
6,-1,1,46,0.107874,0.290710,5.78e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:17:56.866452
6,-1,1,47,0.106464,0.320392,5.63e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:18:27.133223
6,-1,1,48,0.109643,0.348523,5.47e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:18:57.380057
6,-1,1,49,0.101278,0.581374,5.31e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:19:27.622201
6,-1,1,50,0.108827,0.352962,5.16e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:19:58.120709
6,-1,1,51,0.105875,0.105138,5.00e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:20:28.204267
6,-1,1,52,0.099116,0.551972,4.84e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:20:58.383930
6,-1,1,53,0.100421,0.342204,4.69e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:21:28.691705
6,-1,1,54,0.102284,0.642373,4.53e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:21:58.738983
6,-1,1,55,0.101211,0.582631,4.37e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:22:29.472246
6,-1,1,56,0.101589,0.347055,4.22e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:22:59.931032
6,-1,1,57,0.102928,0.339924,4.06e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:23:30.212447
6,-1,1,58,0.100584,0.359540,3.91e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:24:00.727106
6,-1,1,59,0.098725,0.343733,3.76e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:24:31.492961
6,-1,1,60,0.093611,0.308699,3.61e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:25:02.091427
6,-1,1,61,0.099234,0.585326,3.45e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:25:32.664689
6,-1,1,62,0.095309,0.645354,3.31e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:26:03.191876
6,-1,1,63,0.091347,0.692275,3.16e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:26:33.845101
6,-1,1,64,0.093630,0.360775,3.01e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:27:04.200718
6,-1,1,65,0.092330,0.475177,2.87e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:27:35.047546
6,-1,1,66,0.087295,0.423459,2.73e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:28:05.584509
6,-1,1,67,0.092188,0.368075,2.59e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:28:36.208563
6,-1,1,68,0.091918,0.443560,2.45e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:29:06.894406
6,-1,1,69,0.086834,0.375767,2.32e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:29:37.028065
6,-1,1,70,0.092218,0.405279,2.19e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:30:07.317551
6,-1,1,71,0.083792,0.687490,2.06e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:30:38.133733
6,-1,1,72,0.085575,0.698691,1.94e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:31:08.654527
6,-1,1,73,0.089916,0.576102,1.81e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:31:39.230690
6,-1,1,74,0.088002,0.221015,1.69e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:32:09.758109
6,-1,1,75,0.080775,0.553672,1.58e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:32:40.055094
6,-1,1,76,0.082195,0.576358,1.46e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:33:10.455608
6,-1,1,77,0.078715,0.478366,1.36e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:33:40.901163
6,-1,1,78,0.087438,0.686300,1.25e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:34:11.090310
6,-1,1,79,0.081391,0.599303,1.15e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:34:41.365850
6,-1,1,80,0.087484,0.700763,1.05e-04,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:35:11.685341
6,-1,1,81,0.078545,0.515829,9.55e-05,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:35:42.042165
6,-1,1,82,0.081024,0.424598,8.65e-05,AutoSMC + IQ-Mixup (Method 1) [Fixed],2026-04-25T18:36:12.399516
