snr,seed,trial,epoch,loss,f1,lr,aug,timestamp
-6,-1,0,1,1.866469,0.015152,1.00e-03,AutoSMC + IQ-Mixup (Method 1),2026-04-25T08:59:33.444136
-6,-1,0,2,1.704513,0.015152,1.00e-03,AutoSMC + IQ-Mixup (Method 1),2026-04-25T08:59:54.733303
-6,-1,0,3,1.670963,0.033610,9.99e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:00:16.287950
-6,-1,0,4,1.637726,0.031956,9.98e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:00:37.625179
-6,-1,0,5,1.609040,0.098183,9.97e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:00:59.042579
-6,-1,0,6,1.605010,0.349729,9.96e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:01:20.220568
-6,-1,0,7,1.595620,0.419704,9.94e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:01:41.250290
-6,-1,0,8,1.567503,0.574619,9.92e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:02:02.358216
-6,-1,0,9,1.559215,0.583167,9.89e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:02:23.967768
-6,-1,0,10,1.540226,0.531335,9.86e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:02:45.571774
-6,-1,0,11,1.549761,0.522889,9.83e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:03:06.080915
-6,-1,0,12,1.552735,0.596497,9.80e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:03:26.229147
-6,-1,0,13,1.534458,0.541748,9.76e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:03:46.709480
-6,-1,0,14,1.530067,0.559761,9.72e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:04:06.825340
-6,-1,0,15,1.516602,0.537142,9.67e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:04:26.856220
-6,-1,0,16,1.506628,0.468420,9.62e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:04:47.193001
-6,-1,0,17,1.508863,0.503703,9.57e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:05:07.943520
-6,-1,0,18,1.496219,0.501180,9.52e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:05:28.737556
-6,-1,0,19,1.484355,0.555531,9.46e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:05:48.913166
-6,-1,0,20,1.503635,0.596411,9.40e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:06:09.001409
-6,-1,0,21,1.474604,0.458160,9.34e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:06:29.340602
-6,-1,0,22,1.502306,0.542368,9.27e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:06:50.739844
-6,-1,0,23,1.475351,0.573434,9.20e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:07:11.884214
-6,-1,0,24,1.474306,0.450377,9.13e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:07:32.292820
-6,-1,0,25,1.470801,0.520900,9.05e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:07:52.723881
-6,-1,0,26,1.452084,0.542955,8.98e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:08:13.758115
-6,-1,0,27,1.454764,0.546523,8.90e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:08:34.859549
-6,-1,0,28,1.460710,0.563473,8.81e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:08:55.652708
-6,-1,0,29,1.442855,0.608988,8.73e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:09:16.771098
-6,-1,0,30,1.454311,0.555600,8.64e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:09:37.722171
-6,-1,0,31,1.429581,0.585589,8.55e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:09:58.754391
-6,-1,0,32,1.438601,0.484512,8.46e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:10:19.751922
-6,-1,0,33,1.410647,0.504898,8.36e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:10:40.999771
-6,-1,0,34,1.444593,0.583513,8.26e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:11:01.965006
-6,-1,0,35,1.435514,0.538659,8.17e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:11:23.123361
-6,-1,0,36,1.422326,0.453111,8.06e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:11:44.412991
-6,-1,0,37,1.439782,0.560136,7.96e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:12:05.407449
-6,-1,0,38,1.426008,0.505676,7.85e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:12:26.589776
-6,-1,0,39,1.409329,0.539615,7.75e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:12:47.622829
-6,-1,0,40,1.403734,0.509000,7.64e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:13:08.437650
-6,-1,0,41,1.387236,0.544059,7.52e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:13:29.464057
-6,-1,0,42,1.426161,0.603606,7.41e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:13:50.456762
-6,-1,0,43,1.401388,0.589523,7.30e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:14:11.760594
-6,-1,0,44,1.376563,0.589903,7.18e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:14:32.663053
-6,-1,0,45,1.369087,0.562176,7.06e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:14:53.708118
-6,-1,0,46,1.370669,0.557897,6.94e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:15:14.864643
-6,-1,0,47,1.366559,0.588839,6.82e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:15:35.848279
-6,-1,0,48,1.363696,0.551106,6.70e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:15:57.176176
-6,-1,0,49,1.363924,0.469039,6.58e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:16:18.798912
-6,-1,0,50,1.377699,0.608562,6.46e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:16:39.804747
-6,-1,0,51,1.353856,0.599542,6.33e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:17:00.802707
-6,-1,0,52,1.330456,0.507522,6.21e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:17:21.842018
-6,-1,0,53,1.376844,0.629401,6.08e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:17:42.984223
-6,-1,0,54,1.334337,0.597793,5.95e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:18:04.254638
-6,-1,0,55,1.359496,0.637008,5.82e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:18:25.263615
-6,-1,0,56,1.320076,0.544254,5.70e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:18:46.652928
-6,-1,0,57,1.319788,0.519824,5.57e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:19:08.184854
-6,-1,0,58,1.298455,0.583329,5.44e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:19:29.094265
-6,-1,0,59,1.309243,0.554463,5.31e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:19:50.289441
-6,-1,0,60,1.303578,0.458542,5.18e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:20:11.530744
-6,-1,0,61,1.297699,0.629577,5.05e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:20:32.906784
-6,-1,0,62,1.287019,0.527451,4.92e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:20:54.127614
-6,-1,0,63,1.275660,0.522023,4.79e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:21:14.948053
-6,-1,0,64,1.292502,0.553850,4.66e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:21:35.969011
-6,-1,0,65,1.298800,0.593646,4.53e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:21:57.000698
-6,-1,0,66,1.244202,0.594189,4.40e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:22:17.957142
-6,-1,0,67,1.261438,0.592528,4.28e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:22:38.842903
-6,-1,0,68,1.290526,0.615856,4.15e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:22:59.085747
-6,-1,0,69,1.243990,0.595281,4.02e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:23:19.701219
-6,-1,0,70,1.259298,0.594033,3.89e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:23:40.325803
-6,-1,0,71,1.250963,0.588393,3.77e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:24:00.959493
-6,-1,0,72,1.258678,0.637299,3.64e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:24:21.369516
-6,-1,0,73,1.222226,0.610585,3.52e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:24:41.941535
-6,-1,0,74,1.230110,0.588564,3.40e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:25:02.515104
-6,-1,0,75,1.221495,0.591669,3.28e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:25:23.299832
-6,-1,0,76,1.240262,0.626658,3.16e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:25:43.891069
-6,-1,0,77,1.218733,0.613304,3.04e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:26:04.351778
-6,-1,0,78,1.187707,0.626430,2.92e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:26:24.712549
-6,-1,0,79,1.186375,0.621901,2.80e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:26:45.293717
-6,-1,0,80,1.216527,0.626507,2.69e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:27:05.717650
-6,-1,0,81,1.204010,0.584074,2.58e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:27:26.056705
-6,-1,0,82,1.191930,0.602292,2.46e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:27:46.835384
-6,-1,0,83,1.225832,0.633791,2.35e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:28:07.238282
-6,-1,0,84,1.185041,0.612388,2.25e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:28:27.824841
-6,-1,0,85,1.184542,0.636577,2.14e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:28:48.208525
-6,-1,0,86,1.208210,0.625606,2.04e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:29:08.688839
-6,-1,0,87,1.174289,0.612897,1.93e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:29:29.290979
-6,-1,0,88,1.188923,0.630092,1.84e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:29:49.827488
-6,-1,0,89,1.183480,0.614077,1.74e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:30:10.555580
-6,-1,0,90,1.178298,0.639921,1.64e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:30:30.848967
-6,-1,0,91,1.172771,0.587699,1.55e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:30:51.268466
-6,-1,0,92,1.142077,0.629335,1.46e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:31:11.713734
-6,-1,0,93,1.170188,0.634678,1.37e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:31:31.898704
-6,-1,0,94,1.157806,0.619916,1.29e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:31:52.292692
-6,-1,0,95,1.137294,0.636083,1.20e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:32:12.709190
-6,-1,0,96,1.144341,0.631541,1.12e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:32:32.874705
-6,-1,0,97,1.173873,0.619381,1.05e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:32:53.354941
-6,-1,0,98,1.145118,0.635829,9.71e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:33:14.155569
-6,-1,0,99,1.160767,0.647845,8.99e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:33:34.881925
-6,-1,0,100,1.146915,0.643007,8.29e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:33:55.889347
-6,-1,0,101,1.138643,0.642434,7.63e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:34:17.417347
-6,-1,0,102,1.140988,0.639406,7.00e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:34:38.390353
-6,-1,0,103,1.123986,0.642639,6.40e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:34:59.310558
-6,-1,0,104,1.129140,0.652488,5.82e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:35:20.180048
-6,-1,0,105,1.128112,0.644754,5.28e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:35:41.298208
-6,-1,0,106,1.115570,0.644659,4.77e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:36:01.689187
-6,-1,0,107,1.142287,0.652562,4.29e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:36:21.616083
-6,-1,0,108,1.128859,0.650541,3.84e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:36:41.949713
-6,-1,0,109,1.130391,0.646838,3.42e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:37:02.319719
-6,-1,0,110,1.108324,0.649744,3.04e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:37:22.398986
-6,-1,0,111,1.136322,0.644013,2.69e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:37:42.775177
-6,-1,0,112,1.073983,0.653677,2.37e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:38:03.053997
-6,-1,0,113,1.130461,0.645514,2.08e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:38:23.740256
-6,-1,0,114,1.139636,0.644248,1.83e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:38:44.780686
-6,-1,0,115,1.133531,0.647812,1.61e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:39:05.098671
-6,-1,0,116,1.109211,0.650665,1.42e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:39:24.899250
-6,-1,0,117,1.118636,0.645902,1.27e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:39:44.599464
-6,-1,0,118,1.155215,0.646804,1.15e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:40:04.231874
-6,-1,0,119,1.130251,0.645212,1.07e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:40:23.685162
-6,-1,0,120,1.133738,0.644073,1.02e-05,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:40:43.972009
-6,-1,1,1,1.917203,0.014719,1.00e-03,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:41:13.138357
-6,-1,1,2,1.710473,0.060589,1.00e-03,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:41:39.341567
-6,-1,1,3,1.659572,0.017812,9.99e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:42:05.892851
-6,-1,1,4,1.647293,0.055879,9.98e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:42:32.114623
-6,-1,1,5,1.620828,0.072200,9.97e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:42:59.791587
-6,-1,1,6,1.596153,0.071119,9.96e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:43:26.409862
-6,-1,1,7,1.606689,0.273159,9.94e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:43:52.994929
-6,-1,1,8,1.568610,0.515857,9.92e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:44:19.413239
-6,-1,1,9,1.582717,0.502701,9.89e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:44:45.994906
-6,-1,1,10,1.550244,0.524335,9.86e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:45:13.015787
-6,-1,1,11,1.562407,0.530949,9.83e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:45:42.624678
-6,-1,1,12,1.556883,0.547494,9.80e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:46:09.917032
-6,-1,1,13,1.524515,0.555411,9.76e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:46:37.243182
-6,-1,1,14,1.535377,0.548114,9.72e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:47:04.396445
-6,-1,1,15,1.540669,0.573156,9.67e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:47:31.488124
-6,-1,1,16,1.523524,0.547259,9.62e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:47:58.919573
-6,-1,1,17,1.534679,0.521651,9.57e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:48:25.779866
-6,-1,1,18,1.536481,0.566658,9.52e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:48:53.137134
-6,-1,1,19,1.509947,0.584075,9.46e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:49:20.894196
-6,-1,1,20,1.510137,0.557439,9.40e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:49:48.249258
-6,-1,1,21,1.499184,0.527918,9.34e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:50:15.254585
-6,-1,1,22,1.504467,0.596813,9.27e-04,AutoSMC + IQ-Mixup (Method 1),2026-04-25T09:50:43.041388
